Height,Weight,Age,Score,Group,y
179.87270059423682,74.75357153204958,41.65996970905702,70.0,C,good
169.99329242098517,62.780093202212186,27.779972601681013,57.0,B,average
160.290418060841,59.33088072887468,23.005575058716044,73.0,A,good
181.54036288898024,70.10292247147902,42.84954926080997,90.0,C,excellent
171.16221320400211,63.06169555339138,27.909124836035502,55.0,B,average
167.91702254926716,63.52121121479769,29.62378215816119,55.0,B,average
162.15972509321057,56.45614570099021,23.059264473611897,92.0,A,excellent
167.69746930326022,63.46072324267609,28.831809216468457,75.0,B,good
180.2803499210852,73.92587980696507,38.9983689107918,51.0,C,average
169.57117219206805,64.96207284431021,27.23225206359999,71.0,B,good
163.0377242595072,55.85262061843646,20.3252579649264,51.0,A,average
182.74442768626668,74.8281601653728,42.0419867405823,51.0,C,average
168.52306884586685,62.48836057003192,30.421165132560784,65.0,B,good
180.200762468698,70.6101911742239,40.47588455055635,22.0,C,poor
160.17194260557608,59.54660201039391,21.293899908000085,26.0,A,poor
170.3126114217699,63.55855538044705,29.600340105889053,49.0,B,average
162.7335513967164,55.92427227762764,24.8479231388228,40.0,A,average
170.87566411680558,66.69749470782095,31.474136752138243,66.0,B,good
169.98949989405543,66.60937117511558,27.4424625102596,42.0,B,average
178.97991431209573,70.2261364445527,39.62665165381632,32.0,C,poor
179.9433864484474,71.35674515886947,42.14368754575965,89.0,C,excellent
179.78376663346793,71.4046725484369,40.713480415791246,55.0,C,average
160.70462112487382,59.0109849037702,20.372753218398856,61.0,A,good
182.9344346830026,73.86122384648328,38.99357840767086,32.0,C,poor
167.02761058561802,66.07730714227417,30.53428671923809,49.0,B,average
163.64503584020494,58.856351733429726,20.370223258670453,62.0,A,good
168.79232864272137,62.57934529762565,31.31551712937797,37.0,B,poor
170.1164906341378,63.65449012426325,27.31779175143012,68.0,B,good
161.55491160857832,56.625916610133736,23.64803089169032,48.0,A,average
163.18778735677606,59.436063712881634,22.361074625809746,54.0,A,average
160.5979712296915,58.56622393611497,23.803925243084485,48.0,A,average
180.80638598784748,73.85483589977281,40.46897798182195,97.0,C,excellent
162.61366414690997,57.137705091792746,20.12709563372048,60.0,A,good
167.5394571349665,62.15714592843367,30.182052056318906,39.0,B,poor
161.57177990538165,57.54285345582351,24.537832369630465,76.0,A,good
168.24646114574438,64.05191461517815,30.77775569271524,36.0,B,poor
168.1439908274581,62.38489954914397,28.44875726456884,64.0,B,good
160.80610643627003,59.64848826171286,24.04060189782209,21.0,A,poor
170.1670187825521,66.35730295093859,31.018360384495573,33.0,B,poor
178.93285029443018,74.46279499244989,40.696711209578254,64.0,C,good
182.0372007758203,74.48045649961746,39.59001737485932,75.0,C,good
178.55025962263838,72.3577450975548,40.13553894313128,63.0,C,good
171.09007382961246,66.30365291628172,27.034760652655955,58.0,B,average
169.55373651288784,64.0870550157439,28.11053905235365,54.0,B,average
160.5993268366684,56.68807585701814,24.7145485195626,30.0,A,poor
168.6160146601038,64.59395310871683,30.51509479447589,46.0,B,average
